x,y,Hex,HP,Notes,Description
1813,611,#890000,100,Glasyca on Aradune,Target 1
1798,611,#890000,80,Glasyca on Aradune,Target 1
1777,611,#890000,60,Glasyca on Aradune,Target 1
1755,611,#890000,40,Glasyca on Aradune,Target 1
1734,611,#890000,20,Glasyca on Aradune,Target 1
1718,611,#890000,5,Glasyca on Aradune,Target 1
1813,645,#890000,100,Glasyca on Aradune,Target 2
1798,645,#890000,80,Glasyca on Aradune,Target 2
1777,645,#890000,60,Glasyca on Aradune,Target 2
1755,645,#890000,40,Glasyca on Aradune,Target 2
1734,645,#890000,20,Glasyca on Aradune,Target 2
1718,645,#890000,5,Glasyca on Aradune,Target 2
1813,679,#890000,100,Glasyca on Aradune,Target 3
1798,679,#890000,80,Glasyca on Aradune,Target 3
1777,679,#890000,60,Glasyca on Aradune,Target 3
1755,679,#890000,40,Glasyca on Aradune,Target 3
1734,679,#890000,20,Glasyca on Aradune,Target 3
1718,679,#890000,5,Glasyca on Aradune,Target 3
1813,713,#890000,100,Glasyca on Aradune,Target 4
1798,713,#890000,80,Glasyca on Aradune,Target 4
1777,713,#890000,60,Glasyca on Aradune,Target 4
1755,713,#890000,40,Glasyca on Aradune,Target 4
1734,713,#890000,20,Glasyca on Aradune,Target 4
1718,713,#890000,5,Glasyca on Aradune,Target 4
1813,747,#890000,100,Glasyca on Aradune,Target 5
1798,747,#890000,80,Glasyca on Aradune,Target 5
1777,747,#890000,60,Glasyca on Aradune,Target 5
1755,747,#890000,40,Glasyca on Aradune,Target 5
1734,747,#890000,20,Glasyca on Aradune,Target 5
1718,747,#890000,5,Glasyca on Aradune,Target 5
1813,781,#890000,100,Glasyca on Aradune,Target 6
1798,781,#890000,80,Glasyca on Aradune,Target 6
1777,781,#890000,60,Glasyca on Aradune,Target 6
1755,781,#890000,40,Glasyca on Aradune,Target 6
1734,781,#890000,20,Glasyca on Aradune,Target 6
1718,781,#890000,5,Glasyca on Aradune,Target 6
1466,379,#740000,100,Glasyca on Aradune,My HP
1447,379,#740000,80,Glasyca on Aradune,My HP
1426,379,#740000,60,Glasyca on Aradune,My HP
1389,379,#740000,40,Glasyca on Aradune,My HP
1363,379,#740000,20,Glasyca on Aradune,My HP
1337,379,#740000,5,Glasyca on Aradune,My HP
1495,472,#960000,100,Glasyca on Aradune,Target HP
1466,472,#960000,80,Glasyca on Aradune,Target HP
1435,472,#960000,60,Glasyca on Aradune,Target HP
1397,472,#960000,40,Glasyca on Aradune,Target HP
1360,472,#960000,20,Glasyca on Aradune,Target HP
1332,472,#960000,5,Glasyca on Aradune,Target HP
1468,389,#003F7B,100,Glasyca on Aradune,My MP
1446,389,#003F7B,80,Glasyca on Aradune,My MP
1427,389,#003F7B,60,Glasyca on Aradune,My MP
1387,389,#003F7B,40,Glasyca on Aradune,My MP
1361,389,#003F7B,20,Glasyca on Aradune,My MP
1340,389,#003F7B,5,Glasyca on Aradune,My MP
303,113,#960096,5,Glasyca on Aradune,Casting
1649,609,#C70000,100,Glasyca on Aradune,Party 1
1640,609,#C70000,80,Glasyca on Aradune,Party 1
1630,612,#6A0000,60,Glasyca on Aradune,Party 1
1593,609,#C70000,40,Glasyca on Aradune,Party 1
1573,609,#C70000,20,Glasyca on Aradune,Party 1
1556,610,#890000,5,Glasyca on Aradune,Party 1
1651,652,#890000,100,Glasyca on Aradune,Party 2
1640,652,#890000,80,Glasyca on Aradune,Party 2
1629,652,#890000,60,Glasyca on Aradune,Party 2
1596,654,#6A0000,40,Glasyca on Aradune,Party 2
1574,653,#6A0000,20,Glasyca on Aradune,Party 2
1556,652,#890000,5,Glasyca on Aradune,Party 2
1655,694,#6A0000,100,Glasyca on Aradune,Party 3
1643,694,#6A0000,80,Glasyca on Aradune,Party 3
1630,694,#6A0000,60,Glasyca on Aradune,Party 3
1595,694,#6A0000,40,Glasyca on Aradune,Party 3
1573,693,#890000,20,Glasyca on Aradune,Party 3
1555,693,#890000,5,Glasyca on Aradune,Party 3
